model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
gemini-2.0-flash,v3,E5-RAG-full,structured,189,189,0.890632885473746,0.014072919752432,0.143040176183717,0.0456546014985275,43.4835609651958,3.81766158276282,23.3445260638282,5.60445458953694,71.4396488938718,6.65739127082286,-7.04612016804316,1.64948243275179,27.3642310981131,7.09794439603682,4.21156471079024,80.6733514152001,E5 RAG v3,,
gemini-2.0-flash,v3,E5-RAG-full,zeroshot,189,189,0.884590081121556,0.0129059624743586,0.100108246325823,0.0330249630249522,41.856254169815,3.43340389490407,21.5517688377824,6.99126926608258,65.618360646741,11.1546105599484,-7.86946457320486,1.74516831591589,31.2372338275629,7.82345264386943,3.38822030562854,84.54635414465,E5 RAG v3,,
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,constraint,189,189,0.886533085000578,0.0131218868553102,0.126122238907871,0.0450137545199165,42.5102767212361,3.68710838198665,26.3177547808047,6.3731273629243,64.9275492280454,9.98864644726498,-7.82793040778799,1.75977712938849,31.693928678023,7.97571974461476,3.4297544710454,85.0030489951099,Open AI RAG v3,,
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,structured,189,189,0.89024254127785,0.0134713460067334,0.141871113978695,0.0439801396723853,43.490594005339,3.69784575522528,23.0842913117989,5.13308368590879,71.5751024646551,7.69517743178261,-7.10874144143933,1.67597671899355,27.8597212494302,7.42964005729609,4.14894343739407,81.1688415665172,Open AI RAG v3,,
gemini-2.0-flash,v3,step 2 - RAG top k=3 with upgrated prompt,zeroshot,189,189,0.884902456765452,0.0131253042683989,0.101189436373208,0.0353822714074842,41.8581379210059,3.37900095546924,21.4561095666633,5.81362632121756,66.8601479134782,10.7611291395053,-7.86022804483443,1.67669677052907,31.3388145444156,7.4453104609931,3.39745683399896,84.6479348615026,Open AI RAG v3,,
gpt-4o-mini,v1,step 1 - simple prompt engineering,constraint,189,189,0.89121748625286,0.0144059624829293,0.150830787894979,0.0567767896182974,43.5239923466845,3.66093428072406,26.1006912453465,4.9715687265992,69.0658379327981,7.78833754524385,-4.93035296807068,1.45489348407902,18.1616406247653,5.9425746133907,6.32733191076272,71.4707609418523,Simple Prompt v1,Simple Prompt v1,none
gpt-4o-mini,v1,step 1 - simple prompt engineering,structured,189,189,0.868093779478124,0.0131968325490639,0.0652145489932032,0.0359475617292658,37.4681067434868,3.88541423418792,24.3934623576977,4.94078218022627,72.3349522919793,8.16802791582092,-3.72985616748972,1.63259692722947,14.081759611262,7.16536442581032,7.52782871134367,67.390879928349,Simple Prompt v1,Simple Prompt v1,none
gpt-4o-mini,v1,step 1 - simple prompt engineering,zeroshot,189,189,0.879162740455103,0.0135031589264241,0.0921215860601878,0.0418362295388939,39.6645450136157,3.89309941495029,24.8675417521643,4.91664451919923,74.6454874624299,6.44281717605641,-3.79671226343863,1.56981402239657,14.999404924878,6.78943969769484,7.46097261539476,68.308525241965,Simple Prompt v1,Simple Prompt v1,none
gpt-4o-mini,v1,step 2 - RAG top k=3,constraint,189,189,0.889397712611647,0.0193567223726511,0.155466655681049,0.0610343826945887,43.4166742991676,4.36040552430498,25.2796379119631,4.85306967462125,68.6853109677979,8.13928722345309,-4.40576540394872,1.58439110176365,16.5517657995663,6.81219156941497,6.85191947488468,69.8608861166532,Open AI RAG v2,,
gpt-4o-mini,v2,step 1 - simple prompt engineering,constraint,189,189,0.890152731585124,0.01563953289168,0.150170494793993,0.0618628605486414,43.3891565878716,4.04853873143149,26.6652444001859,5.34987877354695,71.0988173300322,7.35687862715452,-4.61800948403919,1.4331938781493,16.9741537378812,5.93367559209517,6.6396753947942,70.2832740549682,Simple Prompt v2,Simple Prompt v2,none
